id,manager_id,club_id,start_date,end_date,signing_fee
1,1,1,2025-07-01,NULL,NULL
2,2,2,2025-06-01,NULL,NULL
3,3,3,2024-07-01,NULL,NULL
4,4,4,2024-08-01,NULL,NULL
5,5,5,2025-01-01,NULL,NULL
6,6,6,2022-02-01,NULL,NULL
7,7,7,2016-07-01,NULL,NULL
8,8,8,2025-07-01,NULL,NULL
9,9,9,2024-12-01,NULL,NULL
10,10,10,2025-07-01,NULL,NULL
11,11,11,2024-09-01,NULL,NULL
12,12,12,2025-08-01,NULL,NULL
13,13,13,2025-07-01,NULL,NULL
14,14,14,2025-01-01,NULL,NULL
15,15,15,2025-02-01,NULL,NULL
16,16,16,2024-08-01,NULL,NULL
17,17,17,2026-01-01,NULL,NULL
18,18,18,2024-07-01,NULL,NULL
